id,company_name,industry_category,address,email,phone,website,linkedin,youtube,instagram,facebook,twitter,products_services,company_profile
11,"3M Deutschland GmbH","3M Electronics solutions will help you design the next generation of technology.","Carl-Schurz-Str. 1, 41453 Neuss, Germany",Nill,"0049 2131 140",http://www.3mdeutschland.de/3M/de_DE/elektronik-de/,https://www.linkedin.com/company/3m/,https://www.youtube.com/@3Melectronics,Nill,Nill,Nill,"AI & Machine Learning (AI), Automation (A)","3M Electronics solutions will help you design the next generation of technology."
12,"3PEAK Incorporated","Analog Chips & Embedded Processors","Silcherstr. 13, 80807 München, Germany",business_EMEA@3peak.com,"0086 21 51090810",https://www.3peak.com/,https://www.linkedin.com/incareer/company/3peak/,Nill,Nill,Nill,Nill,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), CAN interfaces, Analog / digital converter ICs, DC/DC switching regulators, Power switches","Analog Chips & Embedded Processors"
13,"40-30 SAS","Boulevard de lÈurope 29, 38170 Seyssinet-Pariset, France
www.40-30.com","Boulevard de lÈurope 29, 38170 Seyssinet-Pariset, France",Nill,Nill,http://www.40-30.com/,Nill,Nill,Nill,Nill,Nill,,"Boulevard de lÈurope 29, 38170 Seyssinet-Pariset, France
www.40-30.com"
14,"5A Nordics","Kantyxegatan 29, 213 76 Malmö, Sweden
www.aaaaa.se","Kantyxegatan 29, 213 76 Malmö, Sweden",Nill,Nill,http://www.aaaaa.se/,Nill,Nill,Nill,Nill,Nill,,"Kantyxegatan 29, 213 76 Malmö, Sweden
www.aaaaa.se"
15,8Devices,"Antakainiost. 17-7, 10312 Vilnius, Lithuania
+370 60403528
www.8devices.com","Antakainiost. 17-7, 10312 Vilnius, Lithuania",Nill,"00370  60403528",https://www.8devices.com/,Nill,Nill,Nill,Nill,Nill,,"Antakainiost. 17-7, 10312 Vilnius, Lithuania
+370 60403528
www.8devices.com"
16,8devices,"At the heart of your connected project","Antakalnio st. 17-7, 10312 Vilnius, Lithuania",info@8devices.com,"00370 5 2001014",https://www.8devices.com/,https://www.linkedin.com/company/8devices/,Nill,Nill,https://www.facebook.com/8devices,Nill,"Internet of Things (IoT) (I), Electro-Mobility (E), Hardware design, Firmware and drivers, WLAN, Wireless IoT","At the heart of your connected project"
17,"Aaronia AG","Manufacturer of RF Measurement Equipment, real-time Spectrum Analyzer & Antennas","Aaroniaweg 1, 54597 Strickscheid, Germany",info@aaronia.de,"0049 6556 900310",http://www.aaronia.de/,https://www.linkedin.com/company/aaronia-ag,Nill,https://www.instagram.com/aaronia.ag/,https://www.facebook.com/aaronia.ag/,Nill,"5G/6G (G), Field strength, EMI test systems, Spectrum analyzers, Signal generators","Manufacturer of RF Measurement Equipment, real-time Spectrum Analyzer & Antennas"
18,"ABC ATEC Group","Ln. 298, Huandong Rd No.98,, Yangmei 32665, Taiwan","Ln. 298, Huandong Rd No.98,, Yangmei 32665, Taiwan",Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,,"Ln. 298, Huandong Rd No.98,, Yangmei 32665, Taiwan"
19,ABchimie,"Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France
www.abchimie.com","Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France",Nill,Nill,http://www.abchimie.com/,Nill,Nill,Nill,Nill,Nill,,"Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France
www.abchimie.com"
20,"ABC Taiwan Electronics Corp.","No. 98, Ln. 298 Huandong Rd., Yangmei, Taoyuan 326027, Taiwan
+886 3 4788188
www.atec-group.com","No. 98, Ln. 298 Huandong Rd., Yangmei, Taoyuan 326027, Taiwan",Nill,"00886 3 4788188",https://www.atec-group.com/,Nill,Nill,Nill,Nill,Nill,"Common mode chokes, SMD inductors","No. 98, Ln. 298 Huandong Rd., Yangmei, Taoyuan 326027, Taiwan
+886 3 4788188
www.atec-group.com"
21,"ABC Taiwan Electronics Corp.","Trusted manufacturer for inductors, transformers, connectors and LTCC component","Sec. 1, Yang Fu Road, Taoyuan 422, Yang Mei 32665, Taiwan",nancy.hu@atec-group.com,"00886 3 4788188",https://www.atec-group.com/,Nill,Nill,Nill,Nill,Nill,"Internet of Things (IoT) (I), 5G/6G (G), Cloud Computing/Cloud Services (C), Smart Grids/Smart Energy (SE), Automotive (AE), , , , LTCC (Low-temperature Co-fired Ceramic), Common mode chokes, SMD inductors","Trusted manufacturer for inductors, transformers, connectors and LTCC component"
22,"Abes Technology Co., Ltd.","Zhangma 78-1, Xiushui 50442, Taiwan
www.abes.com.tw/","Zhangma 78-1, Xiushui 50442, Taiwan",Nill,Nill,http://www.abes.com.tw/,Nill,Nill,Nill,Nill,Nill,,"Zhangma 78-1, Xiushui 50442, Taiwan
www.abes.com.tw/"
23,"ABIS Circuits Co., Ltd.","ABIS is a leading PCB and PCBA manufacturer in Shenzhen, China, since 2006.","523# A Area, Hangcheng Intelligence Ind. Park, Bao'An Dist., 518102 Shenzhen, China",sales@abiscircuits.com,"0086 755 29482385-605",https://www.abiscircuits.com/,https://www.linkedin.com/company/abis-circuits-co-ltd/mycompany/,https://www.youtube.com/channel/UC6BtCGqIh0M6iOw75Wbxx4A,Nill,Nill,Nill,"Electro-Mobility (E), Automation (A), PCBs, PC assemblies, Plated through-hole PCBs, PCBs with blind and buried vias","ABIS is a leading PCB and PCBA manufacturer in Shenzhen, China, since 2006."
24,"ABO Electronics (Shenzhen) Co., Ltd.","Fuyong Town, Fuhai Street F6, Bldg. A, Jingang Science and Tech Park, Qiaotou Community, 518125 Shenzhen, China
www.abo-sz.com.cn","Fuyong Town, Fuhai Street F6, Bldg. A, Jingang Science and Tech Park, Qiaotou Community, 518125 Shenzhen, China",Nill,Nill,http://www.abo-sz.com.cn/,Nill,Nill,Nill,Nill,Nill,,"Fuyong Town, Fuhai Street F6, Bldg. A, Jingang Science and Tech Park, Qiaotou Community, 518125 Shenzhen, China
www.abo-sz.com.cn"
25,"ABOV Semiconductor","ABOV Semiconductor is a leading designer and manufacturer of microcontrollers.","Yeongdong-daero 8th Floor, 330, Seoul / Gangnam-gu 06177, South Korea",naeum.ko@abov.co.kr,"0082 2 21942197",https://www.abov.co.kr/,https://www.linkedin.com/company/abovsemiconductor,https://www.youtube.com/channel/UCV9A805G8sHAOXxx6g2u3qg,Nill,https://www.facebook.com/abovsemiconductor,Nill,"AI & Machine Learning (AI), Smart Home/Building/Infrastructure (SH), 8 bit microcontrollers, 32 bit microcontrollers, Application-specific controllers, Embedded control ICs","ABOV Semiconductor is a leading designer and manufacturer of microcontrollers."
26,"ABP Electronics Limited","ABP Electronics-Full service for your PCB and PCB Assembly project.","Room 1801/1812, Building T4, Fangda City, Beihuan Avenue Nanshan District, 518055 Shenzhen, China",sales@abp.net.cn,"0086 755 26054178",https://www.abp.net.cn/,Nill,Nill,Nill,https://www.facebook.com/ABPEMS,Nill,"Automation (A), Power Electronics and Energy Technology (PE), Assembly production, Multilayer PCBs, miscellaneous, PCBs on aluminum substrates, PCBs, other","ABP Electronics-Full service for your PCB and PCB Assembly project."
27,ACB,"Group ACB is a printed circuit board manufacter based in Europe (Be and Fr)","ZI rue des Cytises, 61130 Belleme, France",Nill,"0033 674 590363",https://www.groupacb.com/,https://www.linkedin.com/company/acb-nv-atlantec-sas,Nill,Nill,Nill,Nill,"Electronics for aviation, aerospace and defence (D), Medical electronics (M), HDI PCBs, PCBs with thick copper, Flex-rigid circuits, Micro via PCBs","Group ACB is a printed circuit board manufacter based in Europe (Be and Fr)"
28,"Acconeer AB","Ideon Gateway, Scheelevägen 27, 223 63 Lund, Sweden
www.acconeer.com","Ideon Gateway, Scheelevägen 27, 223 63 Lund, Sweden",Nill,Nill,http://www.acconeer.com/,Nill,Nill,Nill,Nill,Nill,,"Ideon Gateway, Scheelevägen 27, 223 63 Lund, Sweden
www.acconeer.com"
29,"Accord Co., Ltd.","Accord Co., Ltd. Booth Number: B2.142/2","8F., No. 398, Sec. 4, Jen Ai Road, Da'an Dist., Taipei City 10693, Taiwan",accord@accordia.com.tw,"00886 2 27044503",https://www.accordia.com.tw/,Nill,Nill,Nill,Nill,Nill,"Automation (A), Smart Home/Building/Infrastructure (SH), Keyboards, Silicone keyboards, Specialized keyboards","Accord Co., Ltd. Booth Number: B2.142/2"
30,"Accord Software & Systems Pvt. Ltd.","#72 & 73 2nd Fl. Krishna Reddy Colony Domlur Layout, Bangalore 560071, India
www.accord-soft.com","#72 & 73 2nd Fl. Krishna Reddy Colony Domlur Layout, Bangalore 560071, India",Nill,Nill,https://www.accord-soft.com/,Nill,Nill,Nill,Nill,Nill,,"#72 & 73 2nd Fl. Krishna Reddy Colony Domlur Layout, Bangalore 560071, India
www.accord-soft.com"
31,"ACCRETECH (Europe) GmbH","Accretech develops advanced systems and machines for semiconductor manufacturing","Landsberger Str. 396, 81241 München, Germany",info@accretech.eu,"0049 89 250064-200",http://www.accretech.eu/,https://www.linkedin.com/company/accretech/,https://www.youtube.com/channel/UCH3MeSdfXkCymTkT8bBDEzA,Nill,Nill,Nill,,"Accretech develops advanced systems and machines for semiconductor manufacturing"
