id,company_name,industry_category,address,email,phone,website,linkedin,youtube,instagram,facebook,twitter,products_services,company_profile
12,"3PEAK Incorporated","Analog Chips & Embedded Processors","Silcherstr. 13, 80807 München, Germany",business_EMEA@3peak.com,"0086 21 51090810",https://www.3peak.com/,https://www.linkedin.com/incareer/company/3peak/,Nill,Nill,Nill,Nill,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), CAN interfaces, Analog / digital converter ICs, DC/DC switching regulators, Power switches","Analog Chips & Embedded Processors"
13,"40-30 SAS","Boulevard de lÈurope 29, 38170 Seyssinet-Pariset, France
www.40-30.com","Boulevard de lÈurope 29, 38170 Seyssinet-Pariset, France",Nill,Nill,http://www.40-30.com/,Nill,Nill,Nill,Nill,Nill,,"Boulevard de lÈurope 29, 38170 Seyssinet-Pariset, France
www.40-30.com"
14,"5A Nordics","Kantyxegatan 29, 213 76 Malmö, Sweden
www.aaaaa.se","Kantyxegatan 29, 213 76 Malmö, Sweden",Nill,Nill,http://www.aaaaa.se/,Nill,Nill,Nill,Nill,Nill,,"Kantyxegatan 29, 213 76 Malmö, Sweden
www.aaaaa.se"
15,8Devices,"Antakainiost. 17-7, 10312 Vilnius, Lithuania
+370 60403528
www.8devices.com","Antakainiost. 17-7, 10312 Vilnius, Lithuania",Nill,"00370  60403528",https://www.8devices.com/,Nill,Nill,Nill,Nill,Nill,,"Antakainiost. 17-7, 10312 Vilnius, Lithuania
+370 60403528
www.8devices.com"
16,8devices,"At the heart of your connected project","Antakalnio st. 17-7, 10312 Vilnius, Lithuania",info@8devices.com,"00370 5 2001014",https://www.8devices.com/,https://www.linkedin.com/company/8devices/,Nill,Nill,https://www.facebook.com/8devices,Nill,"Internet of Things (IoT) (I), Electro-Mobility (E), Hardware design, Firmware and drivers, WLAN, Wireless IoT","At the heart of your connected project"
17,"Aaronia AG","Manufacturer of RF Measurement Equipment, real-time Spectrum Analyzer & Antennas","Aaroniaweg 1, 54597 Strickscheid, Germany",info@aaronia.de,"0049 6556 900310",http://www.aaronia.de/,https://www.linkedin.com/company/aaronia-ag,Nill,https://www.instagram.com/aaronia.ag/,https://www.facebook.com/aaronia.ag/,Nill,"5G/6G (G), Field strength, EMI test systems, Spectrum analyzers, Signal generators","Manufacturer of RF Measurement Equipment, real-time Spectrum Analyzer & Antennas"
18,"ABC ATEC Group","Ln. 298, Huandong Rd No.98,, Yangmei 32665, Taiwan","Ln. 298, Huandong Rd No.98,, Yangmei 32665, Taiwan",Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,,"Ln. 298, Huandong Rd No.98,, Yangmei 32665, Taiwan"
19,ABchimie,"Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France
www.abchimie.com","Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France",Nill,Nill,http://www.abchimie.com/,Nill,Nill,Nill,Nill,Nill,,"Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France
www.abchimie.com"
20,"ABC Taiwan Electronics Corp.","No. 98, Ln. 298 Huandong Rd., Yangmei, Taoyuan 326027, Taiwan
+886 3 4788188
www.atec-group.com","No. 98, Ln. 298 Huandong Rd., Yangmei, Taoyuan 326027, Taiwan",Nill,"00886 3 4788188",https://www.atec-group.com/,Nill,Nill,Nill,Nill,Nill,"Common mode chokes, SMD inductors","No. 98, Ln. 298 Huandong Rd., Yangmei, Taoyuan 326027, Taiwan
+886 3 4788188
www.atec-group.com"
21,"ABC Taiwan Electronics Corp.","Trusted manufacturer for inductors, transformers, connectors and LTCC component","Sec. 1, Yang Fu Road, Taoyuan 422, Yang Mei 32665, Taiwan",nancy.hu@atec-group.com,"00886 3 4788188",https://www.atec-group.com/,Nill,Nill,Nill,Nill,Nill,"Internet of Things (IoT) (I), 5G/6G (G), Cloud Computing/Cloud Services (C), Smart Grids/Smart Energy (SE), Automotive (AE), , , , LTCC (Low-temperature Co-fired Ceramic), Common mode chokes, SMD inductors","Trusted manufacturer for inductors, transformers, connectors and LTCC component"
22,"Abes Technology Co., Ltd.","Zhangma 78-1, Xiushui 50442, Taiwan
www.abes.com.tw/","Zhangma 78-1, Xiushui 50442, Taiwan",Nill,Nill,http://www.abes.com.tw/,Nill,Nill,Nill,Nill,Nill,,"Zhangma 78-1, Xiushui 50442, Taiwan
www.abes.com.tw/"
23,"ABIS Circuits Co., Ltd.","ABIS is a leading PCB and PCBA manufacturer in Shenzhen, China, since 2006.","523# A Area, Hangcheng Intelligence Ind. Park, Bao'An Dist., 518102 Shenzhen, China",sales@abiscircuits.com,"0086 755 29482385-605",https://www.abiscircuits.com/,https://www.linkedin.com/company/abis-circuits-co-ltd/mycompany/,https://www.youtube.com/channel/UC6BtCGqIh0M6iOw75Wbxx4A,Nill,Nill,Nill,"Electro-Mobility (E), Automation (A), PCBs, PC assemblies, Plated through-hole PCBs, PCBs with blind and buried vias","ABIS is a leading PCB and PCBA manufacturer in Shenzhen, China, since 2006."
24,"ABO Electronics (Shenzhen) Co., Ltd.","Fuyong Town, Fuhai Street F6, Bldg. A, Jingang Science and Tech Park, Qiaotou Community, 518125 Shenzhen, China
www.abo-sz.com.cn","Fuyong Town, Fuhai Street F6, Bldg. A, Jingang Science and Tech Park, Qiaotou Community, 518125 Shenzhen, China",Nill,Nill,http://www.abo-sz.com.cn/,Nill,Nill,Nill,Nill,Nill,,"Fuyong Town, Fuhai Street F6, Bldg. A, Jingang Science and Tech Park, Qiaotou Community, 518125 Shenzhen, China
www.abo-sz.com.cn"
25,"ABOV Semiconductor","ABOV Semiconductor is a leading designer and manufacturer of microcontrollers.","Yeongdong-daero 8th Floor, 330, Seoul / Gangnam-gu 06177, South Korea",naeum.ko@abov.co.kr,"0082 2 21942197",https://www.abov.co.kr/,https://www.linkedin.com/company/abovsemiconductor,https://www.youtube.com/channel/UCV9A805G8sHAOXxx6g2u3qg,Nill,https://www.facebook.com/abovsemiconductor,Nill,"AI & Machine Learning (AI), Smart Home/Building/Infrastructure (SH), 8 bit microcontrollers, 32 bit microcontrollers, Application-specific controllers, Embedded control ICs","ABOV Semiconductor is a leading designer and manufacturer of microcontrollers."
26,"ABP Electronics Limited","ABP Electronics-Full service for your PCB and PCB Assembly project.","Room 1801/1812, Building T4, Fangda City, Beihuan Avenue Nanshan District, 518055 Shenzhen, China",sales@abp.net.cn,"0086 755 26054178",https://www.abp.net.cn/,Nill,Nill,Nill,https://www.facebook.com/ABPEMS,Nill,"Automation (A), Power Electronics and Energy Technology (PE), Assembly production, Multilayer PCBs, miscellaneous, PCBs on aluminum substrates, PCBs, other","ABP Electronics-Full service for your PCB and PCB Assembly project."
27,ACB,"Group ACB is a printed circuit board manufacter based in Europe (Be and Fr)","ZI rue des Cytises, 61130 Belleme, France",Nill,"0033 674 590363",https://www.groupacb.com/,https://www.linkedin.com/company/acb-nv-atlantec-sas,Nill,Nill,Nill,Nill,"Electronics for aviation, aerospace and defence (D), Medical electronics (M), HDI PCBs, PCBs with thick copper, Flex-rigid circuits, Micro via PCBs","Group ACB is a printed circuit board manufacter based in Europe (Be and Fr)"
28,"Acconeer AB","Ideon Gateway, Scheelevägen 27, 223 63 Lund, Sweden
www.acconeer.com","Ideon Gateway, Scheelevägen 27, 223 63 Lund, Sweden",Nill,Nill,http://www.acconeer.com/,Nill,Nill,Nill,Nill,Nill,,"Ideon Gateway, Scheelevägen 27, 223 63 Lund, Sweden
www.acconeer.com"
29,"Accord Co., Ltd.","Accord Co., Ltd. Booth Number: B2.142/2","8F., No. 398, Sec. 4, Jen Ai Road, Da'an Dist., Taipei City 10693, Taiwan",accord@accordia.com.tw,"00886 2 27044503",https://www.accordia.com.tw/,Nill,Nill,Nill,Nill,Nill,"Automation (A), Smart Home/Building/Infrastructure (SH), Keyboards, Silicone keyboards, Specialized keyboards","Accord Co., Ltd. Booth Number: B2.142/2"
30,"Accord Software & Systems Pvt. Ltd.","#72 & 73 2nd Fl. Krishna Reddy Colony Domlur Layout, Bangalore 560071, India
www.accord-soft.com","#72 & 73 2nd Fl. Krishna Reddy Colony Domlur Layout, Bangalore 560071, India",Nill,Nill,https://www.accord-soft.com/,Nill,Nill,Nill,Nill,Nill,,"#72 & 73 2nd Fl. Krishna Reddy Colony Domlur Layout, Bangalore 560071, India
www.accord-soft.com"
31,"ACCRETECH (Europe) GmbH","Accretech develops advanced systems and machines for semiconductor manufacturing","Landsberger Str. 396, 81241 München, Germany",info@accretech.eu,"0049 89 250064-200",http://www.accretech.eu/,https://www.linkedin.com/company/accretech/,https://www.youtube.com/channel/UCH3MeSdfXkCymTkT8bBDEzA,Nill,Nill,Nill,,"Accretech develops advanced systems and machines for semiconductor manufacturing"
32,"Acculogic GmbH","Papenreye 51, 22453 Hamburg, Germany
www.acculogic.com","Papenreye 51, 22453 Hamburg, Germany",Nill,Nill,http://www.acculogic.com/,Nill,Nill,Nill,Nill,Nill,,"Papenreye 51, 22453 Hamburg, Germany
www.acculogic.com"
33,"Accuris (formerly IHS Markit)","Accuris enables digital transformation in engineering organizations.","43 Western Road Maxis One, Bracknell RG12 1RF, Great Britain",jeff.platon@accuristech.com,"0044 780 7026534",http://www.accuristech.com/,https://www.linkedin.com/company/accurisco,Nill,https://www.instagram.com/accuristech/,Nill,Nill,"Smart Grids/Smart Energy (SE), Power Electronics and Energy Technology (PE), Electronics for aviation, aerospace and defence (D), LCD monitors, D plug-in connectors, FPGA-based DSPs, Capacitors, Zener diodes, , , ","Accuris enables digital transformation in engineering organizations."
34,"Aceharness Limited","ChongYip Street #31, Unit 01, 10th Floor, LT Tower, 999077 Kowloon, Hong Kong (Special Administrative Region)
www.aceharness.com","ChongYip Street #31, Unit 01, 10th Floor, LT Tower, 999077 Kowloon, Hong Kong (Special Administrative Region)",Nill,Nill,http://www.aceharness.com/,Nill,Nill,Nill,Nill,Nill,,"ChongYip Street #31, Unit 01, 10th Floor, LT Tower, 999077 Kowloon, Hong Kong (Special Administrative Region)
www.aceharness.com"
35,"Aceonetek Technology Co., Ltd.","Connector/Cable assembly manufacturer, and Customized products.","No. 23, Ln. 269, Zhenqian St., Shulin Dist., New Taipei City 238005, Taiwan",Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,,"Connector/Cable assembly manufacturer, and Customized products."
36,"ACES Electronics Co., Ltd.","No. 13, Dongyuan Rd., Zhongli District, Taoyuan City 32063, Taiwan
www.acesconn.com","No. 13, Dongyuan Rd., Zhongli District, Taoyuan City 32063, Taiwan",Nill,Nill,http://www.acesconn.com/,https://www.linkedin.com/company/aces-electronics-co-ltd/,Nill,Nill,Nill,Nill,,"No. 13, Dongyuan Rd., Zhongli District, Taoyuan City 32063, Taiwan
www.acesconn.com"
37,"ACI Laser","ACI is manufacturer of laser systems for marking and laser trimming.","Steinbrüchenstraße 14, 99428 Grammetal, Germany",info@aci-laser.de,"0049 3643 4152-0",http://www.aci-laser.de/,https://de.linkedin.com/company/aci-laser,https://www.youtube.com/channel/UCmnBE3AgDE8bTv6YVsDi5Ow,https://www.instagram.com/aci_laser_gmbh/,https://www.facebook.com/ACILaser,Nill,"Automation (A), Power Electronics and Energy Technology (PE), Resistance, conductivity, Identification systems, Optical inspection systems, Temperature meters","ACI is manufacturer of laser systems for marking and laser trimming."
38,"ACME Electronics (Kunshan) Co., Ltd.","No. 533 Huangpujian North Road, 215337 Kunshan, China
www.acme-ferrite.com.tw","No. 533 Huangpujian North Road, 215337 Kunshan, China",Nill,Nill,https://www.acme-ferrite.com.tw/,Nill,Nill,Nill,Nill,Nill,,"No. 533 Huangpujian North Road, 215337 Kunshan, China
www.acme-ferrite.com.tw"
39,"ACME Ferrite Products Sdn Bhd.","Manufacturer of wide range of Nickel and Manganese Zinc soft ferrite products in different shapes and sizes. These products are used for the manufacture of chokes, inductors, filters, transformers. antennas and other components and devices that are applied in the communication, lighting, alternative energy, automotive, consumer and industrial electronics. ACME's products are used by leading manufacturers of these components and devices worldwide.","Plot 15, Jalan Ind 6, Kawasan Perindustrian Jelapang II, 30020 Ipoh, Malaysia",sales@usig.com,"0060 5 5269149-7381",https://www.acme.com.my/,Nill,Nill,Nill,Nill,Nill,"Passive components, miscellaneous, Inductor cores, pressed cores, Soft-ferrite products, Wide bandgap power semiconductor devices","Manufacturer of wide range of Nickel and Manganese Zinc soft ferrite products in different shapes and sizes. These products are used for the manufacture of chokes, inductors, filters, transformers. antennas and other components and devices that are applied in the communication, lighting, alternative energy, automotive, consumer and industrial electronics. ACME's products are used by leading manufacturers of these components and devices worldwide."
40,"ACM Research Inc.","42307 Osgood Rd. Unit 1, Fremont, CA 94539, USA","42307 Osgood Rd. Unit 1, Fremont, CA 94539, USA",Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,,"42307 Osgood Rd. Unit 1, Fremont, CA 94539, USA"
41,"ACP Aragonesa de Componentes Pasivos, S.A.","Thick film THT & SMD potentiometers for Position Sensing and Function Switching","Calle Rioja, parcela 83, Pol. Industrial Tarazona, 50500 Tarazona, Spain",sales@acptechnologies.com,"0034 976 643063",http://www.acptechnologies.com/,https://es.linkedin.com/company/acptechnologies,Nill,Nill,Nill,Nill,"Safety (S), Electro-Mobility (E), Lighting (L), Automation (A), Smart Home/Building/Infrastructure (SH), , Dial / rotary switches, Selection switches, Rotary potentiometers, Variable resistors, miscellaneous, Potentiometer and resistive sensor elements, , ","Thick film THT & SMD potentiometers for Position Sensing and Function Switching"
42,"ACPA Technology Co., Ltd.","No. 4, Ln. 311, Sec. 1, Jieshou Rd., Sanxia Dist., New Taipei City 23743, Taiwan
www.acpa.com.tw","No. 4, Ln. 311, Sec. 1, Jieshou Rd., Sanxia Dist., New Taipei City 23743, Taiwan",Nill,Nill,http://www.acpa.com.tw/,Nill,Nill,Nill,Nill,Nill,,"No. 4, Ln. 311, Sec. 1, Jieshou Rd., Sanxia Dist., New Taipei City 23743, Taiwan
www.acpa.com.tw"
43,"AC Power Corp. (Preen)","Programmable AC & DC Power Source, T&M Power Supply, Renewable Energy Simulator","3F., No. 161, Sec. 2, Datong Rd., Xizhi Dist., New Taipei 221424, Taiwan",amanda.hsu@preenpower.com,"00886 2 26271899-8232",https://www.preenpower.com/en,https://tw.linkedin.com/company/ac-power-corp-preen-,https://www.youtube.com/watch?v=ni3vIEmfEG8,Nill,Nill,Nill,"Smart Grids/Smart Energy (SE), Power Electronics and Energy Technology (PE), AC/DC power supplies, single / multiple phase, Programmable power supplies, Lab power supplies, Power supply test equipment","Programmable AC & DC Power Source, T&M Power Supply, Renewable Energy Simulator"
44,"Acrowise Electronics Co., Ltd.","Discover innovative IPS TFT LCD solutions with Acrowise.","10F-1, No. 192, Tahtung Road, Sec. 3, Hsi-Chih Area, New Taipei City 22103, Taiwan",thomas@acrowise.com.tw,"00886 2 86472888",https://www.acrowise.com.tw/,https://www.linkedin.com/company/acrowise-display/,Nill,Nill,Nill,Nill,"Healthcare/Wearables (HW), Smart Home/Building/Infrastructure (SH), LCD monitors, LCD displays, active (TFT), Touch panel, Special glasses","Discover innovative IPS TFT LCD solutions with Acrowise."
45,"Active-PCB Solutions Ltd","PCB assembly & electronics manufacturing services from NPI to high volume","Acre Road Unit 4, Reading RG2 0SU, Great Britain",frances.taylor@active-pcb.com,"0044 1189 310292",https://www.active-pcb.com/,https://www.linkedin.com/company/active-pcb-solutions-ltd,Nill,Nill,https://www.facebook.com/profile.php?id=61565072167790,Nill,"Electronics for aviation, aerospace and defence (D), Medical electronics (M), PCBs, Non-PTH single- and double-sided PCBs, Double-sided PCBs, PTH, PCBs, other","PCB assembly & electronics manufacturing services from NPI to high volume"
46,"Actron AG","Justus-von-Liebig Straße 2-14, 85435 Erding, Germany
www.actron.de","Justus-von-Liebig Straße 2-14, 85435 Erding, Germany",Nill,Nill,http://www.actron.de/,Nill,Nill,Nill,Nill,Nill,,"Justus-von-Liebig Straße 2-14, 85435 Erding, Germany
www.actron.de"
47,"ACTRON GROUP","ACTRON Group is a specialist for displays/touchscreens, batteries & connectors","Justus-von-Liebig Straße 2-14, 85435 Erding, Germany",dm@actron.de,"0049 8122 95885-0",https://www.actron.de/,https://www.linkedin.com/company/actron-ag/,Nill,Nill,Nill,Nill,"Healthcare/Wearables (HW), Smart Home/Building/Infrastructure (SH), LCD displays, active (TFT), Touch panel, Special glasses, PCB connectors, Batteries, lithium, ","ACTRON Group is a specialist for displays/touchscreens, batteries & connectors"
48,"Actron Technology Corporation","Actron a manufacturer in designing of SiC IGBT power device for BEV/ HEV.","No. 22, Sec. 2, Nankan Rd., Luchu Dist., Taoyuan City 33855, Taiwan",lawrence_fang@actron.com.tw,"00886 3 311555-268",https://www.actron.com.tw/,Nill,Nill,Nill,Nill,Nill,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), Traction inverters, DC/DC converter, DC/AC converter, 48 V on-board power supply products","Actron a manufacturer in designing of SiC IGBT power device for BEV/ HEV."
49,"ACUWA Technology GmbH ACUWA Technology Inc.","Professional in LAN, Power, RF, COMM., PoE, BMS, isolation transformers & ICs.","Birkenweg 40, 22880 Wedel, Germany",acuwa@acuwa.de,"0049 4103 932020",https://www.acuwa.com/,Nill,Nill,Nill,Nill,Nill,"Smart Grids/Smart Energy (SE), Power Electronics and Energy Technology (PE), Common mode chokes, Isolation transformers, Power transformers, Digital / analog converter ICs","Professional in LAN, Power, RF, COMM., PoE, BMS, isolation transformers & ICs."
50,"Dongguan City ADAM Electronic Technology Co., Ltd.","ADAMICU the world's leading supplier of industrial connectors & cables.","Zhenyuan East Road No. 10, 523875 Dongguan, China",sales1@adamconn.com,"0086 769 85449884",https://www.adamconn.com/,https://www.linkedin.com/in/cindy-xie-36734494/,Nill,Nill,Nill,Nill,"Automation (A), Power Electronics and Energy Technology (PE), Energy storages, miscellaneous, Configured cable / connector combinations for sensor / actuator applications, Embedded vision, Image detection, image evaluation","ADAMICU the world's leading supplier of industrial connectors & cables."
51,"Adam Tech","Global leader in Connectors, Cables, Custom Solutions, and more.","909 Rahway Avenue, Union, NJ 07083, USA",info@adam-tech.com,"001 908 6875000",https://adam-tech.com/,https://www.linkedin.com/company/adam-tech-inc,Nill,Nill,Nill,Nill,"Healthcare/Wearables (HW), Automation (A), Smart Home/Building/Infrastructure (SH), Power Electronics and Energy Technology (PE), Automotive (AE), , , Connectors (see electromechanics / system peripherals), Customized plug-in connectors, Customized cables, Wire / cables / leads, miscellaneous, AC/DC power supplies, single / multiple phase","Global leader in Connectors, Cables, Custom Solutions, and more."
52,"Adapter Technology Co., Ltd.","We dedicate to providing reliable quality,flexible service,upgrading technology","6F, No.258, Liancheng Rd., Zhonghe Dist., New Taipei City 235, Taiwan, New Taipei City 23553, Taiwan",service@adaptertech.com.tw,"00886 2 82262279",https://www.adaptertech.com.tw/,Nill,Nill,Nill,Nill,Nill,"Power Electronics and Energy Technology (PE), Power supplies, AC/DC power supplies, single / multiple phase, AC / DC power supplies, open frame, AC/DC power supplies for medical application","We dedicate to providing reliable quality,flexible service,upgrading technology"
53,"Adaptsys Group","Collaborating with Industry leaders for over 20 years.","Unit 1, Rotherbrook Court, Bedford Road, Petersfield, Hampshire GU32 3QG, Great Britain",info@adaptsys.com,"0044 173 0262444",http://www.adaptsys.com/,https://www.linkedin.com/company/adaptsys-limited,Nill,Nill,https://www.facebook.com/AdaptsysGroup,Nill,"Automotive (AE), Electronics for aviation, aerospace and defence (D), Packaging materials, Blister belting strips, System integration programs, Programming equipment, In-system programming (FLASH / OTP), , ","Collaborating with Industry leaders for over 20 years."
54,"Adar Industries","C-2/104, G.I.D.C, Shanker Tekri Udyognagar, Jamnagar, Gujarat 361004, India
www.adarbrass.com","C-2/104, G.I.D.C, Shanker Tekri Udyognagar, Jamnagar, Gujarat 361004, India",Nill,Nill,https://www.adarbrass.com/,Nill,Nill,Nill,Nill,Nill,,"C-2/104, G.I.D.C, Shanker Tekri Udyognagar, Jamnagar, Gujarat 361004, India
www.adarbrass.com"
55,"Adelis Associates Pte Ltd.","9 Raffles Place #26-01 Republic Plaza, Singapore 048619, Singapore
www.adelis.asia","9 Raffles Place #26-01 Republic Plaza, Singapore 048619, Singapore",Nill,Nill,http://www.adelis.asia/,Nill,Nill,Nill,Nill,Nill,,"9 Raffles Place #26-01 Republic Plaza, Singapore 048619, Singapore
www.adelis.asia"
56,"ADEL System Srl","We produce industrial power supply, battery charger and DC-UPS that meet requirements of all applications in the field of automation.","Via Luigi Barchi 9/b, 42124 Reggio Emilia (RE), Italy",info@adelsystem.com,"0039 0522 345518",http://www.adelsystem.com/,Nill,Nill,Nill,Nill,Nill,"AC/DC power supplies, DIN rail, Uninterruptable power supplies (UPS)","We produce industrial power supply, battery charger and DC-UPS that meet requirements of all applications in the field of automation."
57,Adenso,"Adenso VAC.ROBOTICS modular robot cluster platform for high vacuum environments","Am Weiher 3, 01468 Moritzburg, Germany",info@adenso.de,"0049 351 79597970",https://www.waferhandling.solutions/,Nill,Nill,Nill,Nill,Nill,"Equipment Interface; Communication Protocols, HVAC; Temperature; Humidity Systems and Control, Robotics; Transfer Systems, Ion Implantation Equipment, Transfer Systems for Wafer; Reticles or FPD´s, , , ","Adenso VAC.ROBOTICS modular robot cluster platform for high vacuum environments"
58,"Ader-Des Limited","Plaza No. 3 Tai Yau Str. Sanpo Kong, Kowloon 19H Maxgrand, 999077 Hong Kong, China
www.ader-des.com","Plaza No. 3 Tai Yau Str. Sanpo Kong, Kowloon 19H Maxgrand, 999077 Hong Kong, China",Nill,Nill,http://www.ader-des.com/,Nill,Nill,Nill,Nill,Nill,,"Plaza No. 3 Tai Yau Str. Sanpo Kong, Kowloon 19H Maxgrand, 999077 Hong Kong, China
www.ader-des.com"
59,"Adesio Corsaires Innovation SAS","Real-time Distribution & Procurement Solutions with ERP/CRM Connectors","8 rue du point du jour, 35400 Saint-Malo, France",contact@ades.io,"0033  970669601",https://www.ades.io/,https://www.linkedin.com/company/ades-io/,https://www.youtube.com/channel/UCCl-ugCkGhJi6yeRp1vGRSg,Nill,Nill,Nill,"Cloud Computing/Cloud Services (C), AI & Machine Learning (AI), Parts databases, also with online access, Product information systems, Obsolescence / inventory management, Other services","Real-time Distribution & Procurement Solutions with ERP/CRM Connectors"
